Store_ID,Dept,Weekly_Sales,IsHoliday,CPI,Unemployment,Month
1,1,24924.5,0,211.0963582,8.106,2.0
1,26,11737.12,0,211.0963582,8.106,2.0
1,17,13223.76,0,211.0963582,8.106,2.0
1,79,46729.77,0,211.0963582,7.50005223232607,2.0
1,55,21249.31,0,211.0963582,7.50005223232607,2.0
1,5,32229.38,0,211.0963582,7.50005223232607,2.0
1,7,17687.87305818113,0,211.0963582,7.50005223232607,2.0
1,83,17687.87305818113,0,211.0963582,8.106,2.0
1,9,17687.87305818113,0,211.0963582,8.106,2.0
1,87,17687.87305818113,0,211.0963582,8.106,2.0
1,34,17687.87305818113,0,211.0963582,8.106,2.0
1,74,12251.94,0,211.0963582,8.106,
1,38,115564.35,0,211.0963582,8.106,
1,93,64494.87,0,211.0963582,8.106,
1,23,24146.49,0,211.0963582,8.106,
1,16,10217.55,0,211.0963582,8.106,
1,95,106690.06,0,211.0963582,8.106,2.0
1,2,50605.27,0,211.0963582,8.106,2.0
1,4,39954.04,0,211.0963582,8.106,2.0
1,80,15694.17,0,211.0963582,8.106,2.0
1,8,40129.01,0,211.0963582,8.106,2.0
1,46,20837.77,0,211.0963582,8.106,2.0
1,90,76419.47,0,211.0963582,8.106,2.0
1,14,19466.91,0,211.0963582,8.106,2.0
1,94,56655.39,0,211.0963582,8.106,2.0
1,97,32153.04,0,211.0963582,8.106,2.0
1,49,11501.46,0,211.0963582,8.106,2.0
1,91,62424.14,0,211.0963582,8.106,2.0
1,3,13740.12,0,211.0963582,8.106,2.0
1,32,11875.84,0,211.0963582,8.106,2.0
1,81,30052.75,0,211.0963582,8.106,2.0
1,22,13623.98,0,211.0963582,8.106,2.0
1,82,19484.03,0,211.0963582,8.106,2.0
1,13,41969.29,0,211.0963582,8.106,2.0
1,40,66780.63,0,211.0963582,8.106,2.0
1,25,11609.5,0,211.0963582,8.106,2.0
1,10,30721.5,0,211.0963582,8.106,2.0
1,72,98499.12,0,211.0963582,8.106,2.0
1,92,139884.94,0,211.0963582,8.106,2.0
1,11,24213.18,0,211.0963582,8.106,2.0
1,98,10891.37,0,211.0963582,8.106,2.0
1,3,10887.84,1,211.2421698,8.106,2.0
1,79,36080.86,1,211.2421698,8.106,2.0
1,46,18826.47,1,211.2421698,8.106,2.0
1,13,36476.4,1,211.2421698,8.106,
1,17,13403.66,1,211.2421698,8.106,
1,23,22812.41,1,211.2421698,8.106,
1,87,39254.57,1,211.2421698,8.106,
1,4,35351.21,1,211.2421698,8.106,
1,7,18310.31,1,211.2421698,8.106,
1,14,18129.02,1,211.2421698,8.106,2.0
1,55,18892.81,1,211.2421698,8.106,2.0
1,11,21760.75,1,211.2421698,8.106,2.0
1,98,16309.73,1,211.2421698,8.106,2.0
1,32,14700.59,1,211.2421698,8.106,2.0
1,5,29620.81,1,211.2421698,8.106,2.0
1,9,16562.49,1,211.2421698,8.106,2.0
1,49,16139.05,1,211.2421698,8.106,2.0
1,80,16720.84,1,211.2421698,8.106,2.0
1,82,20949.36,1,211.2421698,8.106,2.0
1,93,70202.02,1,211.2421698,8.106,2.0
